timestamp,open,high,low,close,volume
2010-01-04,170.0500030517578,174.25,169.50999450683594,173.0800018310547,9135000.0
2010-01-05,173.0,176.25999450683594,172.57000732421875,176.13999938964844,11659400.0
2010-01-06,175.3800048828125,175.3800048828125,173.75999450683594,174.25999450683594,7381100.0
2010-01-07,174.32000732421875,178.75,173.9499969482422,177.6699981689453,8727400.0
2010-01-08,176.3300018310547,177.42999267578125,173.9499969482422,174.30999755859375,7268100.0
2010-01-11,175.05999755859375,175.05999755859375,170.52000427246094,171.55999755859375,7704900.0
2010-01-12,170.00999450683594,170.47999572753906,167.02999877929688,167.82000732421875,10360100.0
2010-01-13,168.00999450683594,169.6699981689453,166.1199951171875,169.07000732421875,11269500.0
2010-01-14,168.0,170.72000122070312,167.2100067138672,168.52999877929688,10521400.0
2010-01-15,167.60000610351562,167.8000030517578,164.5800018310547,165.2100067138672,10896300.0
2010-01-19,165.00999450683594,167.39999389648438,163.89999389648438,166.86000061035156,7705300.0
2010-01-20,165.8000030517578,168.17999267578125,164.32000732421875,167.7899932861328,8893900.0
2010-01-21,169.2899932861328,171.0,156.77000427246094,160.8699951171875,51738300.0
2010-01-22,158.69000244140625,159.75,152.25,154.1199951171875,30175600.0
2010-01-25,156.1300048828125,158.3000030517578,154.5,154.97999572753906,17877000.0
2010-01-26,154.91000366210938,156.5,150.6999969482422,150.8800048828125,15985900.0
2010-01-27,150.75,152.92999267578125,148.27000427246094,151.5,19899000.0
2010-01-28,154.22999572753906,155.1999969482422,149.9499969482422,153.2899932861328,16160700.0
2010-01-29,154.44000244140625,154.8800048828125,147.80999755859375,148.72000122070312,18502800.0
2010-02-01,149.82000732421875,155.25,149.2100067138672,153.1300048828125,12980800.0
2010-02-02,153.64999389648438,157.5,153.64999389648438,156.94000244140625,17246600.0
2010-02-03,157.9199981689453,159.94000244140625,157.11000061035156,157.22999572753906,16785200.0
2010-02-04,155.27000427246094,156.05999755859375,150.4499969482422,150.67999267578125,18895000.0
2010-02-05,150.82000732421875,154.4600067138672,148.8699951171875,154.16000366210938,18759200.0
2010-02-08,154.27000427246094,154.60000610351562,150.82000732421875,151.10000610351562,10257300.0
2010-02-09,152.6999969482422,153.52999877929688,149.64999389648438,152.49000549316406,14017300.0
2010-02-10,152.77000427246094,155.35000610351562,151.75999450683594,153.6300048828125,10555300.0
2010-02-11,154.39999389648438,155.32000732421875,152.25,154.0500030517578,11163400.0
2010-02-12,152.3699951171875,154.5,151.13999938964844,153.92999267578125,10293200.0
2010-02-16,155.3000030517578,157.74000549316406,154.60000610351562,157.39999389648438,11497100.0
2010-02-17,158.0,158.19000244140625,155.80999755859375,157.25999450683594,10070000.0
2010-02-18,155.61000061035156,156.58999633789062,154.8800048828125,155.72999572753906,10991100.0
2010-02-19,154.50999450683594,157.0,154.49000549316406,156.17999267578125,8693000.0
2010-02-22,157.1999969482422,157.97000122070312,156.02999877929688,156.7100067138672,7375500.0
2010-02-23,156.80999755859375,160.2100067138672,155.91000366210938,156.6999969482422,15696000.0
2010-02-24,157.33999633789062,159.25,156.8699951171875,158.3300018310547,8361500.0
2010-02-25,156.22999572753906,156.44000244140625,154.32000732421875,156.44000244140625,10519900.0
2010-02-26,156.25999450683594,156.99000549316406,155.25999450683594,156.35000610351562,7812700.0
2010-03-01,156.50999450683594,158.2899932861328,156.1699981689453,156.5399932861328,6522800.0
2010-03-02,157.17999267578125,159.75,156.91000366210938,158.75,11986400.0
2010-03-03,159.0399932861328,159.4499969482422,157.22999572753906,157.72000122070312,10006000.0
2010-03-04,158.25,163.85000610351562,158.11000061035156,163.61000061035156,15439500.0
2010-03-05,165.11000061035156,168.25,165.0,167.17999267578125,12226700.0
2010-03-08,167.8800048828125,170.69000244140625,167.4600067138672,169.83999633789062,9344500.0
2010-03-09,169.22000122070312,172.1999969482422,168.0,168.85000610351562,12958700.0
2010-03-10,170.25999450683594,172.33999633789062,168.8699951171875,171.94000244140625,13107200.0
2010-03-11,171.39999389648438,173.57000732421875,171.10000610351562,173.50999450683594,8910600.0
2010-03-12,175.00999450683594,176.33999633789062,174.0,174.9600067138672,10216900.0
2010-03-15,173.9499969482422,175.1999969482422,170.3800048828125,173.52999877929688,13958600.0
2010-03-16,174.3300018310547,176.4199981689453,173.55999755859375,176.19000244140625,11687700.0
